Sequence No	Turboveg No	Group No	Relevé number	TV2 relevé number	Country	DEG_LON	DEG_LAT	cryptogams	
277	1057	1	1057	003051923	Austria	13.29167	47.475	7	
278	1060	1	1060	003051928	Austria	13.29167	47.475	8	
279	2361	1	2361	003415701	Austria	13.23514	46.98327	8	
280	1454	1	1454	003100782	Austria	13.16782	47.11461	8	
281	1609	1	1609	003203428	Austria	13.16782	47.11461	8	
282	1612	1	1612	003203431	Austria	13.16824	47.11549	4	
283	1602	1	1602	003203420	Austria	13.16988	46.96542	4	
284	1457	1	1457	003100785	Austria	13.16824	47.11549	4	
285	1448	1	1448	003100775	Austria	13.16774	46.96612	2	
286	1246	1	1246	003100330	Austria	13.16703	46.76816	0	
287	207	1	207	003015656	Austria	13.16703	46.76816	0	
288	1608	1	1608	003203427	Austria	13.16727	47.06675	6	
289	1603	1	1603	003203421	Austria	13.16774	46.96612	2	
290	1453	1	1453	003100781	Austria	13.16727	47.06675	6	
291	1447	1	1447	003100774	Austria	13.16988	46.96542	4	
292	1459	1	1459	003100790	Austria	13.20088	47.28723	10	
293	1615	1	1615	003203441	Austria	13.20088	47.28723	10	
294	1199	1	1199	003100080	Austria	13.20203	47.31276	6	
295	1458	1	1458	003100789	Austria	13.2049	47.214	9	
296	1616	1	1616	003203444	Austria	13.20203	47.31276	6	
297	1614	1	1614	003203440	Austria	13.19967	47.28793	2	
298	1444	1	1444	003100770	Austria	13.16994	46.79364	6	
299	1599	1	1599	003203417	Austria	13.16994	46.79364	6	
300	1450	1	1450	003100777	Austria	13.17002	46.96859	4	
301	1198	1	1198	003100079	Austria	13.19967	47.28793	2	
302	1605	1	1605	003203423	Austria	13.17002	46.96859	4	
303	1632	1	1632	003203503	Austria	13.41584	46.79523	7	
304	2186	1	2186	003407933	Austria	13.41562	47.51709	4	
305	1472	1	1472	003100806	Austria	13.41584	46.79523	7	
306	1208	1	1208	003100104	Austria	13.4228	47.78066	0	
307	2647	1	2647	003435936	Austria	13.42222	47.89839	0	
308	2174	1	2174	003407279	Austria	13.41428	47.66014	4	
309	2177	1	2177	003407478	Austria	13.40683	47.65972	3	
310	2176	1	2176	003407411	Austria	13.40683	47.65972	3	
311	2190	1	2190	003408055	Austria	13.41203	47.51517	9	
312	2183	1	2183	003407822	Austria	13.41394	47.52025	2	
313	2184	1	2184	003407833	Austria	13.41394	47.52025	3	
314	183	1	183	003015524	Austria	13.4228	47.78066	0	
315	2181	1	2181	003407733	Austria	13.44274	47.53507	8	
316	2167	1	2167	003406867	Austria	13.4393	47.65493	3	
317	2182	1	2182	003407789	Austria	13.44274	47.53507	10	
318	1211	1	1211	003100109	Austria	13.45718	47.85876	0	
319	2204	1	2204	003408411	Austria	13.44606	47.55872	4	
320	2162	1	2162	003406670	Austria	13.43803	47.45609	1	
321	1209	1	1209	003100106	Austria	13.42341	47.78239	0	
322	184	1	184	003015526	Austria	13.42341	47.78239	0	
323	2173	1	2173	003407235	Austria	13.42367	47.66232	4	
324	2161	1	2161	003406636	Austria	13.42591	47.43689	4	
325	2160	1	2160	003406632	Austria	13.42591	47.43689	3	
326	1629	1	1629	003203495	Austria	13.38343	47.38511	5	
327	1467	1	1467	003100801	Austria	13.34854	46.7188	1	
328	1466	1	1466	003100800	Austria	13.31024	46.84321	4	
329	1628	1	1628	003203485	Austria	13.34854	46.7188	1	
330	1206	1	1206	003100100	Austria	13.34918	46.6966	4	
331	1627	1	1627	003203484	Austria	13.34918	46.6966	4	
332	1626	1	1626	003203481	Austria	13.31024	46.84321	4	
333	1068	1	1068	003051936	Austria	13.29167	47.475	12	
334	1071	1	1071	003051939	Austria	13.29167	47.475	9	
335	1074	1	1074	003051945	Austria	13.29167	47.475	8	
336	1058	1	1058	003051925	Austria	13.29167	47.475	7	
337	1073	1	1073	003051944	Austria	13.29167	47.475	9	
338	2326	1	2326	003413995	Austria	13.35877	47.63654	1	
339	2320	1	2320	003413974	Austria	13.38041	47.65144	2	
340	2323	1	2323	003413988	Austria	13.37769	47.64251	2	
341	1471	1	1471	003100805	Austria	13.38335	47.55872	3	
342	1470	1	1470	003100804	Austria	13.38343	47.38511	5	
343	1630	1	1630	003203497	Austria	13.38335	47.55872	3	
344	222	1	222	003015692	Austria	13.375	47.875	3	
345	2335	1	2335	003414014	Austria	13.36572	47.63315	0	
346	2334	1	2334	003414007	Austria	13.35947	47.65664	0	
347	2319	1	2319	003413971	Austria	13.36818	47.63307	3	
348	220	1	220	003015689	Austria	13.375	47.875	3	
349	2322	1	2322	003413985	Austria	13.37027	47.6336	3	
350	1325	1	1325	003100577	Austria	10.66555	47.11053	5	
